projekt_id;projekt_name;projekttyp;fahrzeugsegment;antriebsart;zielmarkt;entwicklungsstandort;geplante_stueckzahl;anzahl_varianten;aehnlichkeit_vorgaenger_pct;ressourcen_fte;teil_verbrenner_motor;teil_e_motor;teil_getriebe;teil_abgasanlage;teil_batteriesystem;teil_vorderachse;teil_hinterachse;teil_lenkung;teil_rohbau;teil_aussendesign;teil_bordnetz;teil_steuergeraete_ecu;teil_ladesystem;teil_cockpit_hmi;teil_sitzsystem;teil_kamera_radar;teil_adas_software;teil_kuehlkreislauf;anzahl_teile_neu;stueckzahl_kf_refined;dauer_start_kf_d;dauer_kf_df_d;dauer_df_tf_d;dauer_tf_p1_d;dauer_p1_p2_d;dauer_p2_vs_d;dauer_vs_sop_d
PRJ-001;Delta_100_DER;Derivat;SUV;Verbrenner;Global;Indien;6879;1;15;218;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;7861;74;99;110;35;89;144;117
PRJ-002;Alpha_300_FAC;Facelift;C;Elektro;Global;USA;52385;7;41;260;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;3;63191;123;93;190;46;124;197;113
PRJ-003;Gamma_400_DER;Derivat;SUV;Verbrenner;Europa;Deutschland;116932;4;84;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115093;58;152;39;35;144;105;86
PRJ-004;Alpha_400_FAC;Facelift;B;Verbrenner;China;USA;148896;2;21;124;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;3;189649;237;114;215;207;64;347;150
PRJ-005;Beta_X1_NEU;Neuanlauf;A;PHEV;China;China;164577;7;95;219;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;14;137511;315;271;290;212;367;346;282
PRJ-006;Gamma_GT_DER;Derivat;A;Hybrid;Global;China;135022;6;59;63;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;169472;67;65;45;84;153;20;131
PRJ-007;Epsilon_300_DER;Derivat;SUV;Elektro;China;China;101591;1;60;87;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;4;111017;101;105;187;31;152;99;137
PRJ-008;Epsilon_X1_DER;Derivat;D;Elektro;USA;USA;24155;2;32;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24660;93;71;107;120;25;126;130
PRJ-009;Alpha_400_NEU;Neuanlauf;B;Hybrid;USA;USA;91795;1;92;207;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;16;75588;203;188;320;130;226;178;278
PRJ-010;Delta_GT_FAC;Facelift;D;Elektro;USA;Deutschland;195414;3;3;53;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;5;206901;190;98;256;96;222;144;175
